source	target	Weight	edge type
YAL005C	YDL143W	1.0	PPI
YAL005C	YDL144C	1.0	PPI
YAL005C	YDL145C	1.0	PPI
YAL005C	YDL146W	1.0	PPI
YAL005C	YDL147W	1.0	PPI
YAL005C	YDL148C	1.0	PPI
YAL005C	YDL149W	1.0	PPI
YAL005C	YDL153C	1.0	PPI
YAL005C	YDL156W	1.0	PPI
YAL005C	YDL160C	1.0	PPI
YAL005C	YDL164C	1.0	PPI
YAL005C	YDL166C	1.0	PPI
YAL005C	YDL168W	1.0	PPI
YAL005C	YDL171C	1.0	PPI
YAL005C	YDL173W	1.0	PPI
YAL005C	YDL175C	1.0	PPI
YAL005C	YDL182W	1.0	PPI
YAL005C	YDL185W	1.0	PPI
YAL005C	YDL188C	1.0	PPI
YAL005C	YDL190C	1.0	PPI
YAL005C	YDL192W	1.0	PPI
YAL005C	YDL195W	1.0	PPI
YAL005C	YDL197C	1.0	PPI
YAL005C	YDL199C	1.0	PPI
YAL005C	YDL200C	1.0	PPI
YAL005C	YDL201W	1.0	PPI
YAL005C	YDL203C	1.0	PPI
YAL005C	YDL206W	1.0	PPI
YAL005C	YDL212W	1.0	PPI
YAL005C	YDL214C	1.0	PPI
YAL005C	YDL223C	1.0	PPI
YAL005C	YDL224C	1.0	PPI
YAL005C	YDL225W	1.0	PPI
YAL005C	YDL226C	1.0	PPI
YAL005C	YDL227C	1.0	PPI
YAL005C	YDL229W	1.0	PPI
YAL005C	YDL234C	1.0	PPI
YAL005C	YDL236W	1.0	PPI
YAL005C	YDL238C	1.0	PPI
YAL005C	YDL239C	1.0	PPI
YAL005C	YDR001C	1.0	PPI
YAL005C	YDR005C	1.0	PPI
YAL005C	YDR006C	1.0	PPI
YAL005C	YDR009W	1.0	PPI
YAL005C	YDR011W	1.0	PPI
YAL005C	YDR014W	1.0	PPI
YAL005C	YDR016C	1.0	PPI
YAL005C	YDR017C	1.0	PPI
YAL005C	YDR021W	1.0	PPI
YAL005C	YDR022C	1.0	PPI
YAL005C	YDR026C	1.0	PPI
YAL005C	YDR027C	1.0	PPI
YAL005C	YDR028C	1.0	PPI
YAL005C	YDR030C	1.0	PPI
YAL005C	YDR033W	1.0	PPI
YAL005C	YDR034C	1.0	PPI
YAL005C	YDR035W	1.0	PPI
YAL005C	YDR036C	1.0	PPI
YAL005C	YDR038C	1.0	PPI
YAL005C	YDR043C	1.0	PPI
YAL005C	YDR044W	1.0	PPI
YAL005C	YDR047W	1.0	PPI
YAL005C	YDR049W	1.0	PPI
YAL005C	YDR050C	1.0	PPI
YAL005C	YDR051C	1.0	PPI
YAL005C	YDR052C	1.0	PPI
YAL005C	YDR054C	1.0	PPI
YAL005C	YDR055W	1.0	PPI
YAL005C	YDR060W	1.0	PPI
YAL005C	YDR063W	1.0	PPI
YAL005C	YDR064W	1.0	PPI
YAL005C	YDR068W	1.0	PPI
YAL005C	YDR071C	1.0	PPI
YAL005C	YDR073W	1.0	PPI
YAL005C	YDR074W	1.0	PPI
YAL005C	YDR075W	1.0	PPI
YAL005C	YDR076W	1.0	PPI
YAL005C	YDR083W	1.0	PPI
YAL005C	YDR084C	1.0	PPI
YAL005C	YDR088C	1.0	PPI
YAL005C	YDR092W	1.0	PPI
YAL005C	YDR096W	1.0	PPI
YAL005C	YDR098C-B	1.0	PPI
YAL005C	YDR099W	1.0	PPI
YAL005C	YDR101C	1.0	PPI
YAL005C	YDR103W	1.0	PPI
YAL005C	YDR104C	1.0	PPI
YAL005C	YDR105C	1.0	PPI
YAL005C	YDR107C	1.0	PPI
YAL005C	YDR108W	1.0	PPI
YAL005C	YDR110W	1.0	PPI
YAL005C	YDR111C	1.0	PPI
YAL005C	YDR113C	1.0	PPI
YAL005C	YDR117C	1.0	PPI
YAL005C	YDR118W	1.0	PPI
YAL005C	YDR120C	1.0	PPI
