Node	Core	Weight_1	Weight_2	Weight_3	Weight_4	Weight_5	Weight_6	Weight_7	Weight_8	Weight_9	Weight_10	Weight_11	Weight_12	Weight_13	Weight_14	Weight_15	Weight_16	Query_1	Query_2	Query_3	Query_4	Query_5	Query_6	Query_7	Query_8	Query_9	Query_10	Query_11	Query_12	Query_13	Query_14	Query_15	Query_16
YGR233C	True	0.10267856429373162	0.06646741017644266	0.04281908430637095	0.008235896675730152	0.023065708283005196	0.0218799751938755	0.02353265709831096	0.01609405189042027	0.05343715917461253	0.07987260333386483	0.09939556329652452	0.0442220702289366	0.034127188695715335	0.021529511732909547	0.0015468603011027187	0.004132410319756079	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
YDR328C	True	0.021898352323604098	0.002580646914133121	0.027003596640934945	0.12404550850442128	0.09694772407805713	0.06729802611586509	0.05313716967884631	0.054641003247039216	0.018884409733054764	0.038799845699403014	0.0212055538551445	0.07010409677986999	0.08365898351781749	0.04734242648020631	0.06790835056396573	0.045171502006189405	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
YER111C	True	0.3267609608583764	0.1584157617598542	0.02996473273349328	0.12546585888843936	0.2230674726016149	0.31111996857402224	0.5182252681390843	0.5460706979111324	0.26842383717676604	0.05760282460899245	0.15900064410923753	0.23181405629111526	0.2601621515306636	0.20687533358979568	0.1503338814043363	0.12216555761197845	True	False	False	False	False	True	True	True	True	False	False	False	True	False	False	False
YAL024C	True	0.057211756340607815	0.1004083519253066	0.1559280625703774	0.15742253041585938	0.13015490917263586	0.15081469186613408	0.062394903744102864	0.009906195490884756	0.04128201102061976	0.12748518875050113	0.13659442867029165	0.11064463202820088	0.19149816497365887	0.06696656456150014	0.09208361251452804	0.05428245692401572	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
YGR040W	True	0.12715865161871412	0.0925131450919752	0.11741346309747933	0.07276321350729703	0.0058046738705696465	0.0031413984775556336	0.018235866488326837	0.06252103461746318	0.016720471421777523	0.044363637272186916	0.035516992530634665	0.05503512988361583	0.0995920293448516	0.09453552044190117	0.08401570813000678	0.07794821143274504	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
YGR113W	True	0.04163752149129838	0.01866989379015813	0.09342308635408328	0.08669443334593123	0.13615440483814373	0.14367455013702055	0.06946901113663495	0.012899188072587916	0.003183987806045425	0.1102702903521818	0.059821619017155415	0.1173828052778934	0.13696684493184086	0.015627658259011537	0.020198174241664733	0.04232241786022183	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
YBL016W	True	0.1264191787788713	0.09624565705926268	0.0746502003068816	0.15462427610446275	0.08874633425547475	0.10450203580239767	0.13588170831331753	0.18791073883139453	0.15898361471724132	0.04231628460374926	0.11830162285212753	0.10883560797259004	0.13514226513255204	0.18337062006119914	0.21409251566366552	0.22043262723064636	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
YGR098C	True	0.01031592505921567	0.09729426232811222	0.1851130282695826	0.1948858089512752	0.19765394892870128	0.2139744521427569	0.15616122871859836	0.0339035750588233	0.08976331034984278	0.21701727028109752	0.27050047889234263	0.22031147138759236	0.17278931590334032	0.05579141115472674	0.05826509259709393	0.016743199835787034	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False
YDR451C	True	0.13092788354372786	0.01149945415286106	0.07577537729698741	0.1620415722893831	0.21288375431349424	0.2068849350425556	0.1316564278393639	0.014170641160466829	0.11016002566929477	0.23527591963286384	0.23536071569947845	0.15998305440254945	0.08815499793862261	0.07633033858561243	0.05390219462244723	0.0172868729529194	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
YBR274W	True	0.004110816005821192	0.005962275473409523	0.003315078485078029	0.014757845899516274	0.0082146111157296	0.03912674822219919	0.0042825639816994185	0.0059526087256248795	0.02134553468749518	0.027210836274583983	0.043019431946558	0.013220997500231223	0.017641120946342348	0.026082104150933788	0.0173896178946353	0.007996690626656736	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
YDL028C	True	0.12658965075776316	0.050273650539592214	0.08884756373689981	0.13233486323595273	0.16588808507126748	0.13325355462324434	0.1194351892856807	0.11713416579662085	0.06991488038269315	0.011222599646263045	0.01787686383851185	0.13748918717866065	0.1412929286892745	0.08385318971427122	0.08512717581045925	0.041812564100651706	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
YBR160W	True	0.14351700150605556	0.1333227857616472	0.15276748883741684	0.08695203610349593	0.030611029078945307	0.027504030984837755	0.06473167997276576	0.14626633695782593	0.17168038868751115	0.1543610556453846	0.054556916748092016	0.03644480515070805	0.029902489795176963	0.008676659138295153	0.010054976562615512	0.012847628555943638	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
YGR109C	True	0.5613722309264484	0.3438062737502208	0.2225545830301031	0.124740543494644	0.1465391799801405	0.2726801970439157	0.4894000608946535	0.7761069200021984	0.8034919746187811	0.7775593008313023	0.01018736905574447	0.1779781111750991	0.2811131485170904	0.2710850494828768	0.2591351871799301	0.2226880160454227	True	True	False	False	False	True	True	True	True	True	False	False	True	True	True	False
YGL116W	True	0.30908473521637	0.3968251200042117	0.6525233898238147	0.5169949206078545	0.209641279512666	0.11703637797697745	0.3185848232568524	0.5027112550077659	0.5335964893017338	0.5213883418189356	0.3001433634444901	0.22636498306921354	0.1302413380264783	0.07236410151106694	0.05381596226405926	0.14168403256396836	True	True	True	True	False	False	True	True	True	True	True	False	False	False	False	False
YPL194W	True	0.11041741906949704	0.060134997620713865	0.09294834287061106	0.0518986012597985	0.06584420054533799	0.05019857397937856	0.09430529163422477	0.03458684636899838	0.03646460888852125	0.04730845962474852	0.07445243131429885	0.01189842653428176	0.010243913732636964	0.015928342263951296	0.012436844004058121	0.07636740581244833	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
