	25min	30min	35min	40min	45min	50min	55min	60min	65min	70min	75min	80min	85min	90min	95min	100min
YJR036C	2.25099560026303	2.29081628998215	2.63633267760482	2.49864323401616	2.69094842466394	2.39547386081976	3.06881428219403	2.89218632372309	3.21913432550842	3.31434956234872	3.25729183907248	3.15722564023613	3.1666007296034	3.37525528757503	3.08243620147411	3.26781940291209
YJR037W	-1.14181610626255	-1.43497162474277	-1.07804384973504	-0.387885219583547	-0.19658661448678	-0.0351828553920827	-0.453519897521379	-1.0015908269489	-0.309692881666823	-0.440533661591941	-1.60719164421524	-0.0883279447295479	-1.02063498073746	-0.318333933250097	-0.38250788610552	-1.06342088204137
YJR038C	-1.14181610626255	-2.38612189129559	-1.56955202484594	-1.06866021796382	-1.47502917424948	-0.770267159487464	-1.02659885390217	-0.684998566605516	-1.58083817999879	-1.58436384489361	-0.287383004296746	-0.0883279447295479	-0.570334164837533	-0.711926466224798	-0.717213055174649	-0.403786554852222
YJR039W	4.10692663799967	3.90227705291914	4.0301203990456	4.1571251819528	3.9345565540924	4.35444274740407	4.58203676944662	4.49568206930659	4.61076544808344	4.48881748065569	4.59095613670189	4.62762919497061	4.64322501747748	4.75170664326436	4.40442388824184	4.61711246485784
YJR040W	6.54742149638063	6.62404814808435	6.32804898034969	6.19512315389964	6.20140906970744	6.1239177990851	6.18324531783287	6.26632398170119	6.30580825699788	6.32803247813201	6.31647409454213	6.47391706313663	6.59592333497694	6.46456119952163	6.54727646346653	6.49631644802223
YJR041C	6.87349805119966	6.74345665095805	6.79318669338676	6.89316948827859	7.0007717013321	7.00129675689111	6.85348285891616	6.68246636620813	6.68471219861539	6.50505510604019	6.50770895625121	6.45896165122297	6.47813951456021	6.52130255448071	6.42193036586302	6.41892330784606
YJR042W	6.82524422667362	6.89760478350196	6.78873235228437	6.91326699825284	7.02811540958993	7.12053594450322	6.99354976911515	6.87175607166287	6.85674442820877	6.81949702226024	6.90419513715384	6.88403555675011	6.76433256038609	6.84582195173754	6.7746202113674	6.75622613432666
YJR043C	5.47738406922007	5.29191686487506	5.04535515935312	4.61195256712371	4.56830939236976	4.44754373198104	4.22840166180025	4.14220887109787	4.18767015276581	4.35302366400269	4.93466272868295	4.93026793769606	4.8500513795068	5.19419890588183	5.01679012737322	4.66127181310937
YJR044C	6.57977577108431	6.28619140048156	5.89112353456958	6.12316447853249	6.15255002808495	6.08304665314243	6.1974335278437	6.34347087919519	6.35184458508825	6.40444808275098	6.1843557135711	6.53643144204422	6.42658050497796	6.2742327851269	6.51004866000418	6.43404359337745
YJR045C	10.1706604082701	10.0556610102645	10.0612552270026	9.99674168568643	9.97941458594869	9.90724220414643	9.92952382767293	9.91029684462494	9.96285469126492	9.91936354297974	10.0158057155872	9.9482736385593	9.98196067275441	10.010666274727	10.0914185183477	10.076014560662
YJR046W	6.65071669866147	6.7418529560314	6.76080417409287	6.74869082699688	6.81684127487252	6.66153244091737	6.67063916768819	6.51180423340107	6.572540795037	6.57488698050414	6.59678862877653	6.6320819577834	6.60487203309357	6.70463623149789	6.69059734285846	6.72157132282327
YJR047C	2.32689453542113	2.1814882510088	2.12805034803458	2.43870452366673	2.4413784540102	2.72794136360405	2.33323269422193	2.08319705562683	2.2800759701909	1.42577177003936	0.925937054641237	1.63110781303119	1.88081000063002	1.67610251792116	1.61831442167604	2.14766469798823
YJR048W	9.20139324076369	8.76973386962149	8.24471334244475	7.99867885253278	7.82436490247907	7.95522317307884	8.10650143852603	8.1570719559787	8.21994580456161	8.17606423169345	7.73001993691848	8.00390842741086	7.82793238262566	7.33933150462972	7.27235463685841	7.5464646022018
YJR049C	5.18535410605355	5.18267543377288	5.12948810657665	5.11396208056028	5.15982696577304	5.17152043323413	5.00677321127602	5.24334462770092	5.31800779943117	5.36728676288389	5.36084594784339	5.34054949532839	5.37644765843208	5.39466284226227	5.49952551043537	5.22378782396816
YJR050W	3.62590638470789	3.66566236667339	3.34815639998457	3.66944972509933	3.5968314295071	3.63275101441859	3.60422245051312	3.87932510474282	3.885582047151	3.93158029336615	4.21715551965131	3.98887663661508	4.06032757510023	4.09412982891464	4.19518972590732	3.81454057809571
YJR051W	5.94151072311838	5.92132904727902	6.05884399918931	6.19964467836004	6.36095468730868	6.43125732857257	6.49702281641565	6.59005400154095	6.50230249396853	6.41244112632826	6.31647409454213	6.31591561588349	6.13565759570285	6.25446648575329	6.07970256212016	6.1356132823346
YJR052W	4.81222292144913	4.52276062897008	4.829880448917	4.78440376110925	4.84496057275437	4.73116079985596	4.73252433646553	4.80489634886252	4.84226687090392	4.81250701443547	4.62006231792524	4.85161945800623	4.61515541474659	4.52450050341376	4.6749596233231	4.82904250767302
YJR053W	3.24073111649478	3.66566236667339	4.05407333514157	4.0510294357022	4.20802702848543	3.98601126638061	3.58995248371791	3.22088517437428	2.89184216681566	2.54756644233663	2.46843490329094	2.43727303294418	2.50309257221044	2.60122151681303	3.04127600244868	3.24689530070014
YJR054W	6.41457549221969	6.29606003903371	6.18758651548321	6.06982813845197	5.94668797995992	5.66986398146304	5.37458444627786	5.33161031717952	5.190467463969	5.09669439100396	5.14152039110178	5.67034922832271	5.79295312745546	5.77111981140564	5.83272526793899	6.17491471845143
YJR055W	3.53282200107752	3.30640211732589	3.29888837809186	3.29995594540263	3.41608918641941	3.08884693846393	3.29677928583577	3.31271960440147	3.08784212110441	3.68994799649037	3.19675549016901	3.32186642950951	3.2047721558593	3.38850615043583	3.42941432165774	3.17117447392926
YJR056C	4.8286341457049	5.02282644893462	5.08658395219708	4.87199198072955	4.97351292956153	4.93170724706993	5.06982870363361	5.05939220301577	4.8183042508371	5.07383752919204	5.16145616355687	4.92002591496213	4.7822473460416	4.79215259287251	4.82801216682871	4.83255784535453
YJR057W	6.31675105295295	6.31127832162692	6.03497079707571	5.67453308651166	5.47284466611256	5.27675821388281	5.14007089972032	5.06204104955727	5.09965907492756	5.23704000600069	5.37457484110975	5.61428154546845	5.79608197611381	5.7143719979104	5.6554084966322	5.58433358103112
YJR058C	5.32377256577252	5.51298919615497	5.51970570784458	5.62328576093168	5.54329460940308	5.52886544463287	5.64860664919637	5.69630082150509	5.73673175536443	5.67506556639163	5.69216396951869	5.78906079699183	5.76608032323773	5.68513847295239	5.69132848134099	5.7384410405035
YJR059W	5.33530404056006	5.28972336542378	5.44920102828356	5.52942357379171	5.69700463226609	5.82333299942916	5.89629811237589	5.92011733277125	6.01190489823008	6.17669460158035	5.92689993501852	6.14176650699142	6.02266769743855	6.19537499016913	6.09821704689652	6.03698192718312
YJR060W	5.64983954654674	5.65438270207006	5.81781630005923	5.76883046716984	5.8826371571454	5.82993551202625	5.79107709517992	5.68603431825969	5.64434686439163	5.58498533418366	5.58405520676515	5.70952894380011	5.61835930068639	5.7533046491552	5.78780708211438	5.66541654780155
